Year,Crash Descriptor,Time,Time Label,Date,Day of Week,Police Report,Lighting Conditions,City,Collision Type Descriptor,County Name,Road Descriptor,Weather Conditions,Traffic Control Device,Road Surface Conditions,DOT Reference Marker Location,Pedestrian Bicyclist Action,Event Descriptor,Number of Vehicles Involved
2016,Property Damage Accident,06:00,Morning,05/20/2016,Friday,N,Unknown,Kansas City,OTHER,STEUBEN,Unknown,Unknown,Unknown,Unknown,,Not Applicable,Deer,1
2016,Property Damage Accident,20:45,Night,05/16/2016,Monday,Y,Dark-Road Unlighted,Minneapolis,OTHER,JEFFERSON,Straight and Level,Cloudy,None,Dry,,Not Applicable,Deer,1
2016,Property Damage Accident,08:00,Morning,05-06-2016,Friday,Y,Daylight,Minneapolis,OTHER,JEFFERSON,Straight and Grade,Clear,None,Other,,Not Applicable,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
2016,Injury Accident,16:23,Night,05-04-2016,Wednesday,Y,Daylight,Minneapolis,LEFT TURN (3),JEFFERSON,Straight and Level,Clear,Stop Sign,Dry,177 73011001,Not Applicable,"Other Motor Vehicle, Collision With",2
2016,Property Damage & Injury Accident,20:56,Night,04/30/2016,Saturday,Y,Dark-Road Lighted,Minneapolis,RIGHT ANGLE,JEFFERSON,Curve and Level,Cloudy,No Passing Zone,Dry,11 73051115,Not Applicable,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",2
2016,Property Damage & Injury Accident,08:42,Morning,04/22/2016,Friday,Y,Daylight,Minneapolis,OTHER,JEFFERSON,Straight and Level,Cloudy,No Passing Zone,Dry,178 73011102,Not Applicable,"Building/Wall, Collision With Fixed Object",1
2016,Property Damage Accident,20:48,Night,04/22/2016,Friday,Y,Dark-Road Unlighted,Kansas City,OTHER,STEUBEN,Straight and Level,Clear,None,Dry,17 64041334,Not Applicable,"Animal, Collision With",1
2016,Property Damage Accident,01:38,Morning,04/18/2016,Monday,Y,Dark-Road Unlighted,Minneapolis,OTHER,JEFFERSON,Straight and Level,Clear,None,Dry,,Not Applicable,Deer,1
2016,Property Damage Accident,00:00,Morning,04/16/2016,Saturday,N,Unknown,Kansas City,OTHER,STEUBEN,Unknown,Unknown,Unknown,Unknown,,Not Applicable,Deer,1
2016,Property Damage & Injury Accident,12:24,Afternoon,04/13/2016,Wednesday,Y,Daylight,Minneapolis,RIGHT ANGLE,JEFFERSON,Straight and Level,Clear,Stop Sign,Dry,,Not Applicable,"Other Motor Vehicle, Collision With",2
2016,Property Damage Accident,16:23,Night,04-12-2016,Tuesday,Y,Daylight,Minneapolis,RIGHT ANGLE,JEFFERSON,Straight and Level,Cloudy,Stop Sign,Dry,11 73051115,Not Applicable,"Other Motor Vehicle, Collision With",2
2016,Property Damage Accident,06:21,Morning,04-11-2016,Monday,Y,Dawn,Minneapolis,OTHER,JEFFERSON,Straight and Level,Rain,None,Wet,,Not Applicable,Deer,1
2016,Property Damage & Injury Accident,22:35,Night,04-07-2016,Thursday,Y,Dark-Road Unlighted,Minneapolis,OTHER,JEFFERSON,Straight and Grade,Cloudy,No Passing Zone,Dry,,Not Applicable,"Tree, Collision With Fixed Object",1
2016,Fatal Accident,16:41,Night,03/23/2016,Wednesday,Y,Daylight,Minneapolis,HEAD ON,JEFFERSON,Straight at Hill Crest,Cloudy,No Passing Zone,Dry,,Not Applicable,"Other Motor Vehicle, Collision With",2
2016,Property Damage Accident,03:00,Morning,03/19/2016,Saturday,N,Unknown,Minneapolis,OTHER,JEFFERSON,Unknown,Unknown,Unknown,Unknown,,Not Applicable,Deer,1
2016,Injury Accident,10:30,Morning,03/19/2016,Saturday,N,Daylight,Kansas City,Unknown,STEUBEN,Straight and Level,Clear,Unknown,Dry,17 64041329,Not Applicable,"Other Motor Vehicle, Collision With",2
2016,Property Damage Accident,23:51,Night,03/17/2016,Thursday,Y,Dark-Road Unlighted,Minneapolis,OTHER,JEFFERSON,Straight and Level,Cloudy,None,Wet,178 73011068,Not Applicable,Deer,1
2016,Property Damage Accident,10:45,Morning,03/13/2016,Sunday,N,Dark-Road Unlighted,Minneapolis,REAR END,JEFFERSON,Unknown,Rain,None,Wet,,Not Applicable,"Other Motor Vehicle, Collision With",2
2016,Property Damage Accident,11:50,Morning,03-11-2016,Friday,N,Unknown,Minneapolis,OTHER,JEFFERSON,Unknown,Unknown,Unknown,Unknown,,Not Applicable,Deer,1
2016,Property Damage Accident,00:00,Morning,03-06-2016,Sunday,N,Dark-Road Unlighted,Kansas City,OTHER,STEUBEN,Curve and Level,Clear,None,Dry,,Not Applicable,"Animal, Collision With",1
2016,Injury Accident,01:18,Morning,03-02-2016,Wednesday,Y,Dark-Road Unlighted,Minneapolis,OTHER,JEFFERSON,Straight and Level,Sleet/Hail/Freezing Rain,None,Snow/Ice,81I73051101,Not Applicable,"Guide Rail - Not At End, Collision With Fixed Object",1
2016,Property Damage Accident,20:15,Night,02/27/2016,Saturday,N,Unknown,Minneapolis,OTHER,JEFFERSON,Unknown,Unknown,Unknown,Unknown,,Not Applicable,Deer,1
2016,Property Damage Accident,16:50,Night,02/18/2016,Thursday,Y,Daylight,Minneapolis,OTHER,JEFFERSON,Straight and Level,Clear,Traffic Signal,Dry,,Not Applicable,"Building/Wall, Collision With Fixed Object",1
2016,Property Damage Accident,14:16,Afternoon,02/17/2016,Wednesday,Y,Daylight,Minneapolis,OTHER,JEFFERSON,Straight and Level,Snow,None,Snow/Ice,81I73051097,Not Applicable,"Snow Embankment, Collision With Fixed Object",1
